Date,Timestamp,Invoice No.,Item Name
2024-01-29,2024-01-29 02:25:22,21573,ORANGE JUICE
2024-01-29,2024-01-29 02:17:11,21572,Iced Latte (350 ML)
2024-01-29,2024-01-29 02:17:11,21572,ALMOND MILK (200 ML)
2024-01-29,2024-01-29 02:11:30,21571,Chicken Calzone
2024-01-29,2024-01-29 02:11:30,21571,Coconut Nankhatai (with Egg)
2024-01-29,2024-01-29 02:11:30,21571,Iced Americano (350 ML)
2024-01-29,2024-01-29 02:11:30,21571,Add On Syrup (Add On Vanilla Syrup)
2024-01-29,2024-01-29 02:11:30,21571,Chicken Calzone
2024-01-29,2024-01-29 02:11:30,21571,Calzones Veg (Calzone Paneer)
2024-01-29,2024-01-29 02:11:30,21571,Cafe Latte (350 ML)
2024-01-29,2024-01-29 02:11:30,21571,Add On Syrup (Add On Caramel Syrup)
2024-01-29,2024-01-29 01:46:51,21570,Iced Mocha (350 ML)
2024-01-29,2024-01-29 01:46:51,21570,Classic Frappe (350 ML)
2024-01-29,2024-01-29 01:18:00,21569,Iced Latte (350 ML)
2024-01-29,2024-01-29 01:18:00,21569,ALMOND MILK (200 ML)
2024-01-29,2024-01-29 00:55:43,21568,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)
2024-01-29,2024-01-29 00:55:43,21568,Strawberry White Chocolate Ganache With Rosella Jam Macaroon
2024-01-29,2024-01-29 00:55:43,21568,Double Restritto 44 Ml
2024-01-29,2024-01-29 00:36:49,21567,Iced Americano (450 Ml)
2024-01-29,2024-01-29 00:09:15,C2389,Origanal South Indian Frappe (350 ML)
2024-01-29,2024-01-29 00:06:28,21566,Hot Chocolate (250 ML)
2024-01-29,2024-01-29 00:06:28,21566,Mix Berliner 2 Pcs (Lotus Biscoff Berliner)
2024-01-29,2024-01-29 00:06:28,21566,Mix Berliner 2 Pcs (Nutella Berliner)
2024-01-29,2024-01-29 00:02:23,21565,Baked Vada Pav
2024-01-29,2024-01-29 00:01:57,21564,Cappucino (250 ML)
2024-01-29,2024-01-29 00:00:23,21563,Almond Honey Latte (250 ML)
2024-01-29,2024-01-29 00:00:23,21563,Origanal South Indian Frappe (350 ML)
2024-01-28,2024-01-28 23:49:35,21562,Cappucino (250 ML)
2024-01-28,2024-01-28 23:49:35,21562,Calzones Veg (Calzone Paneer)
2024-01-28,2024-01-28 23:47:29,21561,Classic Frappe (350 ML)
2024-01-28,2024-01-28 23:37:25,21560,Origanal South Indian Frappe (350 ML)
2024-01-28,2024-01-28 23:23:09,21559,Nariyal Irish Cream Frappe (350 ML)
2024-01-28,2024-01-28 23:23:09,21559,Classic Frappe (350 ML)
2024-01-28,2024-01-28 23:23:09,21559,South Indian Filter Kaapi (150 ML)
2024-01-28,2024-01-28 23:23:09,21559,Hazelnut Frappe (350 ML)
2024-01-28,2024-01-28 23:22:03,21558,Pappa Roti (Plain)
2024-01-28,2024-01-28 23:12:16,21557,Berliners (Dark Choco Mousse Berliner)
2024-01-28,2024-01-28 23:12:16,21557,Berliners (Lotus Biscoff Berliner)
2024-01-28,2024-01-28 23:10:06,21556,Cafe Latte (250 ML)
2024-01-28,2024-01-28 23:06:44,C2388,Tartlets (Salted Caramel Tartlet)
2024-01-28,2024-01-28 23:04:41,21555,Cafe Latte (250 ML)
2024-01-28,2024-01-28 23:04:41,21555,Origanal South Indian Frappe (350 ML)
2024-01-28,2024-01-28 23:02:43,21554,Iced Latte (450 ML)
2024-01-28,2024-01-28 23:02:43,21554,Add On Syrup (Add On Vanilla Syrup)
2024-01-28,2024-01-28 23:02:43,21554,Nariyal Irish Cream Frappe (350 ML)
2024-01-28,2024-01-28 23:02:43,21554,Berliners (Nutella Berliner)
2024-01-28,2024-01-28 22:49:00,21553,Cappucino (250 ML)
2024-01-28,2024-01-28 22:49:00,21553,Iced Americano (350 ML)
2024-01-28,2024-01-28 22:49:00,21553,Cappucino (350 ML)
2024-01-28,2024-01-28 22:46:40,21552,French Press
2024-01-28,2024-01-28 22:43:40,21551,Iced Americano (350 ML)
2024-01-28,2024-01-28 22:38:18,21550,Vietnamese (350 ML)
2024-01-28,2024-01-28 22:38:18,21550,Calzones Veg (Calzone Veg)
2024-01-28,2024-01-28 22:38:18,21550,Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)
2024-01-28,2024-01-28 22:38:18,21550,Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)
2024-01-28,2024-01-28 22:27:36,21549,Vietnamese (350 ML)
2024-01-28,2024-01-28 22:27:36,21549,Madagascar Chocochip Frappe (350 ML)
2024-01-28,2024-01-28 22:27:36,21549,Papparoti (Add On Nutella sauce)
2024-01-28,2024-01-28 22:27:36,21549,Hyderabadi Chicken Keema Pav
2024-01-28,2024-01-28 22:25:05,C2387,Strawbery Rosella Frangipani Tart
2024-01-28,2024-01-28 22:21:10,C2386,Papparoti (Plain)
2024-01-28,2024-01-28 22:21:10,C2386,Calzones Veg (Calzone Veg)
