Date,Timestamp,Invoice No.,Item Name
22-01-2024,22-01-2024 23:57,21006,Aeropress
22-01-2024,22-01-2024 23:57,21006,Iced Americano (350 ML)
22-01-2024,22-01-2024 23:57,21006,Add On Syrup (Add On Tiramisu Syrup)
22-01-2024,22-01-2024 23:57,21006,Baked Vada Pav
22-01-2024,22-01-2024 23:43,21005,South Indian Filter Kaapi (250 ML)
22-01-2024,22-01-2024 23:43,21005,Original South Indian Frappe (350 ML)
22-01-2024,22-01-2024 23:43,21005,Original South Indian Frappe (450 ML)
22-01-2024,22-01-2024 23:43,21005,Original South Indian Frappe (350 ML)
22-01-2024,22-01-2024 23:39,21004,Spicy Banana Chips 60 Gm
22-01-2024,22-01-2024 23:39,21003,Classic Frappe (350 ML)
22-01-2024,22-01-2024 23:39,21003,Cold Brew
22-01-2024,22-01-2024 23:39,21003,Berliners (Nutella Berliner)
22-01-2024,22-01-2024 23:07,21002,Iced Americano (350 ML)
22-01-2024,22-01-2024 23:07,21002,Cafe Latte (250 ML)
22-01-2024,22-01-2024 23:02,21001,Cappucino (350 ML)
22-01-2024,22-01-2024 23:02,21001,Almond Frappe (350 ML)
22-01-2024,22-01-2024 23:02,21001,Madagascar Hot Chocolate (250 ML)
22-01-2024,22-01-2024 23:02,21001,Berliners (Dark Choco Mousse Berliner)
22-01-2024,22-01-2024 22:57,21000,Cafe Latte (250 ML)
22-01-2024,22-01-2024 22:57,21000,Sea Salt Dark Mocha (250 ML)
22-01-2024,22-01-2024 22:57,21000,ALMOND MILK (200 ML)
22-01-2024,22-01-2024 22:46,20999,Whole Wheat Ladi Pav 4 Pc
22-01-2024,22-01-2024 22:43,20998,Original South Indian Frappe (350 ML)
22-01-2024,22-01-2024 22:43,20998,South Indian Filter Kaapi (250 ML)
22-01-2024,22-01-2024 22:41,20997,Madagascar Chocochip Frappe (350 ML)
22-01-2024,22-01-2024 22:36,20996,Madagascar Chocochip Frappe (350 ML)
22-01-2024,22-01-2024 22:36,20996,Caramel Frappe (350 ML)
22-01-2024,22-01-2024 22:24,20995,Chicken Calzone
22-01-2024,22-01-2024 22:24,20995,Mix Tartlet 3 Pcs (salted Caramel tartlet)
22-01-2024,22-01-2024 22:24,20995,Mix Tartlet 3 Pcs (chocolate Tartlet)
22-01-2024,22-01-2024 22:24,20995,Cold Brew
22-01-2024,22-01-2024 22:24,20995,Sea Salt Dark Mocha (250 ML)
22-01-2024,22-01-2024 22:24,20995,Bon Bon (350 ML)
22-01-2024,22-01-2024 22:24,20995,Almond Honey Latte (250 ML)
22-01-2024,22-01-2024 22:24,20995,Hazelnut Frappe (350 ML)
22-01-2024,22-01-2024 22:24,20995,Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)
22-01-2024,22-01-2024 22:24,20995,Mix Tartlet 3 Pcs (kodai cheese tartlet)
22-01-2024,22-01-2024 22:23,20994,Papparoti (Plain)
22-01-2024,22-01-2024 22:23,20994,Nariyal Irish Cream Frappe (450 ML)
22-01-2024,22-01-2024 22:21,20993,Iced Americano (350 ML)
22-01-2024,22-01-2024 22:21,20993,Add On Syrup (Add On Irish Syrup)
22-01-2024,22-01-2024 22:21,20993,Kaapicino (250 ML)
22-01-2024,22-01-2024 21:34,20992,Madagascar Hot Chocolate (250 ML)
22-01-2024,22-01-2024 21:34,20992,Hazelnut Frappe (350 ML)
22-01-2024,22-01-2024 20:56,20991,Cappucino (250 ML)
22-01-2024,22-01-2024 20:56,20991,Choco-crinkle-cookies (COMBO 3 PCS)
